TableName, FieldName
RepoBatchSetups, User_variables_as_text
RepoBatchSetups, User_Environment_BLOB
RepoBatchSetups, UserID
RepoBatchSetups, When_To_Execute
RepoBatchSetups, zWhat_to_do_with_result
RepoLookupTablesContentsItems, DCID
RepoLookupTablesContentsItems, Field_Index
RepoLookupTablesContentsItems, Internal_ID
RepoLookupTablesContentsItems, LookupTableID
RepoLookupTablesContentsItems, LookupTableRecordID
RepoLookupTablesContentsItems, Value
RepoLookupTablesContRecords, DCID
RepoLookupTablesContRecords, Internal_ID
RepoLookupTablesContRecords, LookupTableID
RepoLookupTablesContRecords, Record_Index
RepoLookupTables, DCID
RepoLookupTables, Internal_ID
RepoLookupTables, ReportSetupID
RepoLookupTables, Table_Name
RepoLookupTablesDefItems, DCID
RepoLookupTablesDefItems, Description
RepoLookupTablesDefItems, Field_Index
RepoLookupTablesDefItems, Internal_ID
RepoLookupTablesDefItems, Item_Name
RepoLookupTablesDefItems, LookupTableID
RepoLookupTablesDefItems, max_nbr_of_chars
RepoLookupTablesDefItems, Value_Type
Reports, DCID
Reports, Body
Reports, ColumnTitles
Reports, Custom
Reports, Footing
Reports, Heading
Reports, ID
Reports, MasterFile
Reports, Name
Reports, NumCols
Reports, SchoolID
Reports, TeacherAccess
Reports, Type
Reports, unused5
Reports, unused6
RepoSetups, DCID
RepoSetups, columns_display_headers
RepoSetups, columns_export_headers
RepoSetups, columns_generate_total_line
RepoSetups, columns_multi_order
RepoSetups, columns_nbr_items_per_line
RepoSetups, columns_nbr_lines_per_page
RepoSetups, columns_nbr_of_break_level
RepoSetups, comments_to_user
RepoSetups, contact_email
RepoSetups, contact_job_title
RepoSetups, contact_name
RepoSetups, contact_phone
RepoSetups, contact_url
RepoSetups, CreationBy
RepoSetups, CreationDate
RepoSetups, CreationTime
RepoSetups, DateOfImport
RepoSetups, Description
RepoSetups, destination_email_dest_address
RepoSetups, destination_email_msg
RepoSetups, destination_email_send_as_attac
RepoSetups, destination_email_subject
RepoSetups, destination_file_path
RepoSetups, destination_ftp_password
RepoSetups, destination_ftp_path
RepoSetups, destination_ftp_server_name
RepoSetups, destination_ftp_user_name
RepoSetups, destination_type
RepoSetups, destination_web_MIME_type
RepoSetups, Disable_Curr_School_Only_Over
RepoSetups, Disable_Destination_Over
RepoSetups, Disable_Int_Char_Option_Over
RepoSetups, Disable_Nbr_of_Items_per_Line
RepoSetups, Disable_Nbr_of_Lines_per_Page
RepoSetups, Disable_Use_Current_Sel_Over
RepoSetups, Dont_Reset_Page_Number
RepoSetups, DoubleQuote_RemoveWhenEmpty
RepoSetups, DoubleQuoteSurrounded
RepoSetups, due_date
RepoSetups, encoding_type
RepoSetups, FieldDelimiter
RepoSetups, FileFormat
RepoSetups, FileNameMaxLength
RepoSetups, FileNameTemplate
RepoSetups, FileNameTemplate_
RepoSetups, FixedLength_TotalWidthInChars
RepoSetups, footer_display
RepoSetups, footer_export
RepoSetups, footer_repeat_at_breaks
RepoSetups, footer_text
RepoSetups, For_current_school
RepoSetups, general_owner_info
RepoSetups, header_display
RepoSetups, header_Export
RepoSetups, header_repeat_at_breaks
RepoSetups, header_text
RepoSetups, Include_in_List
RepoSetups, Internal_ID
RepoSetups, International_Chars_Option
RepoSetups, List_of_Values
RepoSetups, LoadedFrom_DateStamp
RepoSetups, LoadedFrom_FileName
RepoSetups, LoadedFrom_FilePathOnly
RepoSetups, Management_ReportVersion
RepoSetups, Merger_User_Vars_Action
RepoSetups, ModificationBy
RepoSetups, ModificationDate
RepoSetups, ModificationTime
RepoSetups, Param_Att_Codes
RepoSetups, Param_Att_Codes_Categ
RepoSetups, Param_Att_Codes_Categ_Opt
RepoSetups, Param_Att_Codes_Options
RepoSetups, Param_Att_Conv
RepoSetups, Param_Att_Modes
RepoSetups, Param_DateRange
RepoSetups, Param_DateToScan
RepoSetups, Param_Dest
RepoSetups, Param_Grades
RepoSetups, Param_Grades_Options
RepoSetups, Param_Grades_Script
RepoSetups, Param_Items_per_Line
RepoSetups, Param_JavaScript_ToInsert
RepoSetups, Param_Lines_per_page
RepoSetups, Param_Misc
RepoSetups, Param_Misc_Options
RepoSetups, Param_Periods
RepoSetups, Param_Periods_Options
RepoSetups, Param_Prcs_Options
RepoSetups, Param_Prcs_Options_Def
RepoSetups, Param_Rep_Segments
RepoSetups, Param_Schools
RepoSetups, Param_Schools_Options
RepoSetups, Param_Schools_Script
RepoSetups, Param_Source
RepoSetups, Param_Starting_Page_Nbr
RepoSetups, Param_Submit_Button_Code
RepoSetups, Param_Teachers
RepoSetups, Param_Teachers_Options
RepoSetups, Param_Teachers_Script
RepoSetups, Param_Update_Script
RepoSetups, Param_UserVars_Sel_Script
RepoSetups, Param_Weeks
